Date,Description,Amount,Running Total
2024-06-08,Gross Loan Interest For Wolverhampton Office Block A ( 1 loan parts),4.916666667,10.40166667
2024-06-08,Loan Interest Fee For Wolverhampton Office Block A ( 1 loan parts),-0.4916666667,9.91
2024-06-10,Gross Loan Interest For Bradford Commercial Mixed Use A ( 1 loan parts),7.35,17.26
2024-06-10,Loan Interest Fee For Bradford Commercial Mixed Use A ( 1 loan parts),-0.735,16.525
2024-07-01,Regular Monthly Interest – Jun 2024,-16.33,0.195
2024-07-03,Gross Loan Interest For Prenton Industrial A ( 1 loan parts),5.833333333,6.028333333
2024-07-03,Loan Interest Fee For Prenton Industrial A ( 1 loan parts),-0.5833333333,5.445
2024-07-08,Gross Loan Interest For Wolverhampton Office Block A ( 1 loan parts),4.916666667,10.36166667
2024-07-08,Loan Interest Fee For Wolverhampton Office Block A ( 1 loan parts),-0.4916666667,9.87
2024-07-10,Gross Loan Interest For Bradford Commercial Mixed Use A ( 1 loan parts),7.35,17.22
2024-07-10,Loan Interest Fee For Bradford Commercial Mixed Use A ( 1 loan parts),-0.735,16.485
