Loan ID,Borrower ID,Security value,Loan amount,Loan to value,Maturity,Your investment,Percentage of loanbook,Loan status,Loan Risk Category,Truncated Loan ID,Loan Parts in Loan,Original maturity date,Maturity date extended
9134273,8786287,"£830,000","£267,500",49.10%,29 Nov 2024,£15.648750,0.28%,Live,2,9134273,2,29/11/2024,0
9680056,8231021,"£1,900,000","£740,000",44.74%,26 Sep 2024,£43.290000,0.78%,Extended (No ICF),2,9680056,3,26/06/2024,92
9854106 c,8152787,"£3,448,105","£170,000",46.81%,22 Dec 2024,£9.945000,0.18%,Extended (No ICF),4,9854106,3,22/12/2023,366
9838075,8992974,"£825,000","£393,750",47.73%,11 Sep 2024,£23.034375,0.41%,Extended (No ICF),2,9838075,1,11/06/2024,92
9999823,8512312,"£1,050,000","£525,000",50.00%,14 Dec 2025,£30.712500,0.55%,Live,2,9999823,1,14/12/2025,0
9667624,8202679,"£630,000","£270,000",47.62%,13 Dec 2024,£15.795000,0.28%,Live,2,9667624,2,13/12/2024,0
9105787,8625796,"£1,925,000","£650,000",33.77%,14 Sep 2024,£38.025000,0.68%,Live,2,9105787,1,14/09/2024,0
9915852,8490291,"£1,175,000","£368,500",37.74%,29 Nov 2024,£21.557250,0.39%,Live,2,9915852,2,29/11/2024,0
9166129,8628983,"£1,450,000","£712,500",49.14%,31 Aug 2024,£41.681250,0.75%,Extended (No ICF),2,9166129,1,25/06/2024,67
9788272,8449424,"£570,000","£285,000",50.00%,20 Dec 2024,£16.672500,0.30%,Live,2,9788272,1,20/12/2024,0
9919857 b,8755537,"£4,140,080","£37,000",42.07%,14 Nov 2024,£2.164500,0.04%,Live,4,9919857,8,14/11/2024,0
9699985,8620117,"£630,000","£262,000",49.52%,03 Dec 2024,£15.327000,0.27%,Live,2,9699985,2,03/12/2024,0
9268261,8767441,"£700,000","£280,000",48.86%,09 Dec 2024,£16.380000,0.29%,Live,2,9268261,3,09/12/2024,0
9332574,8383924,"£1,010,000","£400,000",50.00%,11 Dec 2024,£23.400000,0.42%,Live,2,9332574,5,11/12/2024,0
9306298,8959529,"£450,000","£225,000",50.00%,16 Dec 2024,£13.162500,0.24%,Live,2,9306298,1,16/12/2024,0
9375337,8229778,"£958,500","£475,000",44.60%,18 Jan 2025,£27.787500,0.50%,Live,2,9375337,1,18/01/2025,0
9436620,8165228,"£1,000,000","£450,000",50.00%,25 Jan 2025,£26.325000,0.47%,Live,2,9436620,3,25/01/2025,0
9190002,8858477,"£965,000","£360,000",37.31%,29 Jan 2025,£21.060000,0.38%,Live,2,9190002,1,29/01/2025,0
9910513,8703678,"£450,000","£225,000",50.00%,29 Jan 2025,£13.162500,0.24%,Live,2,9910513,1,29/01/2025,0
9779687,8404433,"£600,000","£150,000",50.00%,30 Dec 2024,£8.775000,0.16%,Live,2,9779687,3,30/12/2024,0
9573124,8659812,"£530,000","£250,000",50.00%,30 Dec 2024,£14.625000,0.26%,Live,2,9573124,2,30/12/2024,0
