Date,Transaction Type,Loan,Amount,Balance,Contract,Cash Flow,Date Value
08/08/2024 13:26:11,Loan Repayment,SNV Construction Limited (4) – Drawdown 1,£46.94,£53.17,,,08/08/2024
08/08/2024 13:26:11,Loan Repayment Interest,SNV Construction Limited (4) – Drawdown 1,£1.69,£6.23,,,08/08/2024
09/08/2024 16:16:04,I and F fee,Skylark Build Ltd - Drawdown 9,-£0.09,£60.69,,,09/08/2024
09/08/2024 16:16:04,Loan Repayment,Skylark Build Ltd - Drawdown 9,£6.98,£60.78,,,09/08/2024
09/08/2024 16:16:04,Loan Repayment Interest,Skylark Build Ltd - Drawdown 9,£0.79,£53.80,,,09/08/2024
09/08/2024 16:35:33,I and F fee,Skylark Build Ltd - Drawdown 17,-£0.03,£65.64,,,09/08/2024
09/08/2024 16:35:33,Loan Repayment,Skylark Build Ltd - Drawdown 17,£4.65,£65.67,,,09/08/2024
09/08/2024 16:35:33,Loan Repayment Interest,Skylark Build Ltd - Drawdown 17,£0.33,£61.02,,,09/08/2024
15/08/2024 14:53:38,I and F fee,Honnacotts Meadow Developments Ltd – Drawdown 10,-£0.04,£166.04,,,15/08/2024
15/08/2024 14:53:38,Loan Repayment,Honnacotts Meadow Developments Ltd – Drawdown 10,£100.00,£166.08,,,15/08/2024
15/08/2024 14:53:38,Loan Repayment Interest,Honnacotts Meadow Developments Ltd – Drawdown 10,£0.44,£66.08,,,15/08/2024
15/08/2024 15:36:54,Auction completion,North Meadow Developments Ltd (2) – Drawdown 1,-£100.00,£66.04,,,15/08/2024
22/08/2024 12:43:49,I and F fee,Wold Top Developments Limited (2) - Drawdown 1,-£0.18,£102.41,,,22/08/2024
22/08/2024 12:43:49,Loan Repayment,Wold Top Developments Limited (2) - Drawdown 1,£34.66,£102.59,,,22/08/2024
22/08/2024 12:43:49,Loan Repayment Interest,Wold Top Developments Limited (2) - Drawdown 1,£1.89,£67.93,,,22/08/2024
27/08/2024 16:35:33,I and F fee,Christie Hurst Road Limited (2) – Drawdown 1,-£0.05,£163.84,,,27/08/2024
27/08/2024 16:35:33,Loan Repayment,Christie Hurst Road Limited (2) – Drawdown 1,£60.94,£163.89,,,27/08/2024
27/08/2024 16:35:33,Loan Repayment Interest,Christie Hurst Road Limited (2) – Drawdown 1,£0.54,£102.95,,,27/08/2024
28/08/2024 17:49:30,Deposit,,£450.00,£613.84,,,28/08/2024
10/09/2024 10:15:52,I and F fee,Skylark Build Ltd - Drawdown 9,-£0.26,£634.86,,,10/09/2024
10/09/2024 10:15:52,Loan Repayment,Skylark Build Ltd - Drawdown 9,£19.00,£635.12,,,10/09/2024
10/09/2024 10:15:52,Loan Repayment Interest,Skylark Build Ltd - Drawdown 9,£2.28,£616.12,,,10/09/2024
10/09/2024 10:43:44,I and F fee,Skylark Build Ltd - Drawdown 17,-£0.11,£648.41,,,10/09/2024
10/09/2024 10:43:44,Loan Repayment,Skylark Build Ltd - Drawdown 17,£12.67,£648.52,,,10/09/2024
10/09/2024 10:43:44,Loan Repayment Interest,Skylark Build Ltd - Drawdown 17,£0.99,£635.85,,,10/09/2024
12/09/2024 10:41:04,Auction completion,Denise Holdings UK Ltd (2) – Drawdown 3,-£100.00,£548.41,,,12/09/2024
17/09/2024 10:27:25,Auction completion,Witley Homes (Portway) Limited (2) – Drawdown 13,-£38.87,£509.54,,,17/09/2024
20/09/2024 09:30:02,I and F fee,Gable Construction (Southern) Limited – Drawdown 6,-£0.79,£616.39,,,20/09/2024
20/09/2024 09:30:02,Loan Repayment,Gable Construction (Southern) Limited – Drawdown 6,£100.00,£617.18,,,20/09/2024
20/09/2024 09:30:02,Loan Repayment Interest,Gable Construction (Southern) Limited – Drawdown 6,£7.64,£517.18,,,20/09/2024
