Loan ID,Borrower ID,Security value,Loan amount,Loan to value,Maturity,Your investment,Percentage of loanbook,Loan status,Loan Risk Category,Truncated Loan ID,Loan Parts in Loan,Original maturity date,Maturity date extended
9775456,8837730,"£2,323,523","£400,000",33.46%,02 May 2025,£22.128000,0.39%,Live,3,9775456,6,02/05/2025,0
9775456 b,8837730,"£2,323,523","£220,000",33.46%,02 May 2025,£12.170400,0.21%,Live,3,9775456,6,02/05/2025,0
9142719,8291790,"£400,000","£163,500",50.00%,19 May 2025,£9.044820,0.16%,Live,2,9142719,2,19/05/2025,0
9100856,8841861,"£500,000","£220,000",44.00%,20 May 2025,£12.170400,0.21%,Extended (No ICF),2,9100856,1,20/11/2024,181
9798429,8784893,"£350,000","£175,000",50.00%,21 May 2025,£9.681000,0.17%,Live,2,9798429,1,21/05/2025,0
9615559,8362045,"£674,750","£200,000",49.35%,22 May 2025,£11.064000,0.19%,Live,2,9615559,6,22/05/2025,0
9867335,8339863,"£575,000","£242,500",50.00%,23 May 2025,£13.415100,0.23%,Live,2,9867335,3,23/05/2025,0
9207489 b,8920828,"£825,000","£35,000",49.70%,12 Feb 2025,£1.936200,0.03%,Live,2,9207489,2,12/02/2025,0
9136845,8588384,"£880,000","£440,000",50.00%,23 Apr 2025,£24.340800,0.43%,Live,2,9136845,1,23/04/2025,0
9919857 f,8755537,"£4,599,864","£70,000",45.91%,14 Nov 2025,£3.872400,0.07%,Extended (No ICF),4,9919857,12,14/11/2024,365
9231198 c,8441991,"£2,245,087","£55,000",49.74%,29 May 2025,£3.042600,0.05%,Live,4,9231198,6,29/05/2024,365
9975478 b,8202679,"£675,000","£75,000",46.67%,07 Jan 2025,£4.149000,0.07%,Extended (No ICF),2,9975478,2,07/09/2024,122
9667624 b,8202679,"£630,000","£30,000",47.62%,13 Mar 2025,£1.659600,0.03%,Extended (No ICF),2,9667624,2,13/12/2024,90
9863505,8963606,"£1,360,000","£680,000",50.00%,29 Apr 2025,£37.617600,0.66%,Live,2,9863505,1,29/04/2025,0
9681358,8332217,"£1,047,375","£400,000",40.10%,12 Jan 2025,£22.128000,0.39%,Live,2,9681358,2,12/01/2025,0
9281955 c,8119838,"£1,021,130","£40,000",47.99%,21 Feb 2025,£2.212800,0.04%,Live,2,9281955,3,21/02/2025,0
9775456 c,8837730,"£2,323,523","£50,000",33.46%,02 May 2025,£2.766000,0.05%,Live,3,9775456,6,02/05/2025,0
9361282,8810378,"£485,000","£230,000",47.42%,02 Jun 2025,£12.723600,0.22%,Live,2,9361282,1,02/06/2025,0
9543842,8551869,"£1,170,000","£585,000",50.00%,06 Jun 2025,£32.362200,0.57%,Live,2,9543842,1,06/06/2025,0
9224661 e,8711007,"£1,407,098","£30,000",48.89%,27 Jun 2025,£1.659600,0.03%,Extended (No ICF),2,9224661,9,27/12/2024,182
9712676,8914479,"£550,000","£187,500",50.00%,13 Jun 2025,£10.372500,0.18%,Live,2,9712676,2,13/06/2025,0
