Date,Description,Amount,Running Total,Modified Amt
2024-10-01,Regular Monthly Interest – Sep 2024,-16.96,0.225,-16.96
2024-10-03,Gross Loan Interest For Prenton Industrial A ( 1 loan parts),5.833333333,6.058333333,5.833333333
2024-10-03,Loan Interest Fee For Prenton Industrial A ( 1 loan parts),-0.5833333333,5.475,-0.5833333333
2024-10-08,Gross Loan Interest For Wolverhampton Office Block A ( 1 loan parts),4.916666667,10.39166667,4.916666667
2024-10-08,Loan Interest Fee For Wolverhampton Office Block A ( 1 loan parts),-0.4916666667,9.9,-0.4916666667
2024-10-10,Gross Loan Interest For Bradford Commercial Mixed Use A ( 1 loan parts),7.35,17.25,7.35
2024-10-10,Loan Interest Fee For Bradford Commercial Mixed Use A ( 1 loan parts),-0.735,16.515,-0.735
2024-10-27,Gross Loan Interest For Knowsley Light Industrial A ( 1 loan parts),6.916666667,23.43166667,6.916666667
2024-10-27,Loan Interest Fee For Knowsley Light Industrial A ( 1 loan parts),-0.6916666667,22.74,-0.6916666667
2024-11-01,Regular Monthly Interest – Oct 2024,-22.5,0.24,-22.5
2024-11-03,Gross Loan Interest For Prenton Industrial A ( 1 loan parts),5.833333333,6.073333333,5.833333333
2024-11-03,Loan Interest Fee For Prenton Industrial A ( 1 loan parts),-0.5833333333,5.49,-0.5833333333
2024-11-08,Gross Loan Interest For Wolverhampton Office Block A ( 1 loan parts),4.916666667,10.40666667,4.916666667
2024-11-08,Loan Interest Fee For Wolverhampton Office Block A ( 1 loan parts),-0.4916666667,9.915,-0.4916666667
2024-11-10,Gross Loan Interest For Bradford Commercial Mixed Use A ( 1 loan parts),7.35,17.265,7.35
2024-11-10,Loan Interest Fee For Bradford Commercial Mixed Use A ( 1 loan parts),-0.735,16.53,-0.735
2024-11-21,Principal Paid Off For Wolverhampton Office Block - Tranche A ( 1 loan part ),1000,1016.53,1000
2024-11-21,PLL1043 - Wolverhampton Office Block - Tranche A - Penalty Interest 133 Days,10.8986,1027.4286,10.8986
2024-11-21,PLL1043 - Wolverhampton Office Block - Late Redemption Exit Charge,10,1037.4286,10
2024-11-21,Gross Loan Interest For Wolverhampton Office Block - Tranche A ( 1 loan part ),2.130555556,1039.559156,2.130555556
2024-11-21,Fee For Wolverhampton Office Block - Tranche A ( 1 loan part ),-0.2130555556,1039.3461,-0.2130555556
2024-11-21,PLL1043 - Wolverhampton Office Block - Tranche A - Penalty Interest - Fee 133 Days,-1.08,1038.2661,-1.08
2024-11-27,Gross Loan Interest For Knowsley Light Industrial A ( 1 loan parts),6.916666667,1045.182767,6.916666667
2024-11-27,Loan Interest Fee For Knowsley Light Industrial A ( 1 loan parts),-0.6916666667,1044.4911,-0.6916666667
2024-12-01,Regular Monthly Interest – Nov 2024,-44.23,1000.2611,-44.23
2024-12-02,Bank Interest 02/09/2024 to 28/11/2024,1.44,1001.7011,1.44
2024-12-03,Gross Loan Interest For Prenton Industrial A ( 1 loan parts),5.833333333,1007.534433,5.833333333
2024-12-03,Loan Interest Fee For Prenton Industrial A ( 1 loan parts),-0.5833333333,1006.9511,-0.5833333333
2024-12-10,Gross Loan Interest For Bradford Commercial Mixed Use A ( 1 loan parts),7.35,1014.3011,7.35
2024-12-10,Loan Interest Fee For Bradford Commercial Mixed Use A ( 1 loan parts),-0.735,1013.5661,-0.735
2024-12-17,PLL1157 - Teesside R and D Industrial Centre - Tranche A - Pre Draw Down Interest 2 days,0.47,1014.0375,0.47
2024-12-17,PLL1157 - Teesside R and D Industrial Centre - Tranche A - Pre Draw Down Interest 2 days - FEE,-0.05,1013.9875,-0.05
2024-12-17,Primary Loan Invesments For Teesside R and D Industrial Centre - Tranche A ( 1 loan part ),-1000,13.9875,-1000
2024-12-27,Gross Loan Interest For Knowsley Light Industrial - Tranche A ( 1 loan part ),6.821917808,20.80941781,6.821917808
2024-12-27,Loan Interest Fee For Knowsley Light Industrial - Tranche A ( 1 loan part ),-0.6821917808,20.12722603,-0.6821917808
2025-01-01,Regular Monthly Interest –December 2024,-18.52,1.607226027,-18.52
2025-01-03,Gross Loan Interest For Prenton Industrial - Tranche A ( 1 loan part ),5.945205479,7.552431507,5.945205479
2025-01-03,Loan Interest Fee For Prenton Industrial - Tranche A ( 1 loan part ),-0.5945205479,6.957910959,-0.5945205479
2025-01-10,Gross Loan Interest For Bradford Commercial Mixed Use - Tranche A ( 1 loan part ),7.490958904,14.44886986,7.490958904
2025-01-10,Loan Interest Fee For Bradford Commercial Mixed Use - Tranche A ( 1 loan part ),-0.7490958904,13.69977397,-0.7490958904
2025-01-17,Gross Loan Interest For Teesside R and D Industrial Centre - Tranche A ( 1 loan part ),7.117260274,20.81703425,7.117260274
2025-01-17,Loan Interest Fee For Teesside R and D Industrial Centre - Tranche A ( 1 loan part ),-0.7117260274,20.10530822,-0.7117260274
2025-01-27,Gross Loan Interest For Knowsley Light Industrial - Tranche A ( 1 loan part ),7.049315068,27.15462329,7.049315068
2025-01-27,Loan Interest Fee For Knowsley Light Industrial - Tranche A ( 1 loan part ),-0.7049315068,26.44969178,-0.7049315068
